Epoch 75 | Train Loss: 0.0523 | Val Loss: 0.0388 | Val Dice: 0.9139 | Val IoU: 0.8440 | Learning Rate: 0.0005
Epoch 76 | Train Loss: 0.0493 | Val Loss: 0.0369 | Val Dice: 0.9351 | Val IoU: 0.8788 | Learning Rate: 0.0005
Epoch 77 | Train Loss: 0.0492 | Val Loss: 0.0558 | Val Dice: 0.8310 | Val IoU: 0.7172 | Learning Rate: 0.0005
Epoch 78 | Train Loss: 0.0482 | Val Loss: 0.0380 | Val Dice: 0.9338 | Val IoU: 0.8765 | Learning Rate: 0.0005
Epoch 79 | Train Loss: 0.0450 | Val Loss: 0.0360 | Val Dice: 0.9394 | Val IoU: 0.8864 | Learning Rate: 0.0005
Epoch 80 | Train Loss: 0.0457 | Val Loss: 0.0360 | Val Dice: 0.9290 | Val IoU: 0.8681 | Learning Rate: 0.0005
Epoch 81 | Train Loss: 0.0442 | Val Loss: 0.0427 | Val Dice: 0.9385 | Val IoU: 0.8848 | Learning Rate: 0.0005
Epoch 82 | Train Loss: 0.0480 | Val Loss: 0.0383 | Val Dice: 0.9139 | Val IoU: 0.8435 | Learning Rate: 0.0005
Epoch 83 | Train Loss: 0.0426 | Val Loss: 0.0388 | Val Dice: 0.9413 | Val IoU: 0.8898 | Learning Rate: 0.0005
Epoch 84 | Train Loss: 0.0530 | Val Loss: 0.0378 | Val Dice: 0.9160 | Val IoU: 0.8469 | Learning Rate: 0.0005
Epoch 85 | Train Loss: 0.0435 | Val Loss: 0.0386 | Val Dice: 0.9413 | Val IoU: 0.8897 | Learning Rate: 0.0005
Epoch 86 | Train Loss: 0.0446 | Val Loss: 0.0354 | Val Dice: 0.9366 | Val IoU: 0.8815 | Learning Rate: 0.0005
Epoch 87 | Train Loss: 0.0459 | Val Loss: 0.0321 | Val Dice: 0.9393 | Val IoU: 0.8860 | Learning Rate: 0.0005
Epoch 88 | Train Loss: 0.0550 | Val Loss: 0.0383 | Val Dice: 0.9203 | Val IoU: 0.8533 | Learning Rate: 0.0005
Epoch 89 | Train Loss: 0.0410 | Val Loss: 0.0391 | Val Dice: 0.9037 | Val IoU: 0.8262 | Learning Rate: 0.0005
Epoch 90 | Train Loss: 0.0447 | Val Loss: 0.0352 | Val Dice: 0.9237 | Val IoU: 0.8590 | Learning Rate: 0.0005
Epoch 91 | Train Loss: 0.0508 | Val Loss: 0.0353 | Val Dice: 0.9240 | Val IoU: 0.8595 | Learning Rate: 0.0005
Epoch 92 | Train Loss: 0.0482 | Val Loss: 0.0406 | Val Dice: 0.8896 | Val IoU: 0.8031 | Learning Rate: 0.0005
Epoch 93 | Train Loss: 0.0440 | Val Loss: 0.0391 | Val Dice: 0.9394 | Val IoU: 0.8864 | Learning Rate: 0.0005
Epoch 94 | Train Loss: 0.0462 | Val Loss: 0.0381 | Val Dice: 0.9211 | Val IoU: 0.8552 | Learning Rate: 0.00025
Epoch 95 | Train Loss: 0.0436 | Val Loss: 0.0304 | Val Dice: 0.9408 | Val IoU: 0.8889 | Learning Rate: 0.00025
Epoch 96 | Train Loss: 0.0398 | Val Loss: 0.0306 | Val Dice: 0.9417 | Val IoU: 0.8904 | Learning Rate: 0.00025
Epoch 97 | Train Loss: 0.0358 | Val Loss: 0.0316 | Val Dice: 0.9338 | Val IoU: 0.8765 | Learning Rate: 0.00025
Epoch 98 | Train Loss: 0.0362 | Val Loss: 0.0329 | Val Dice: 0.9446 | Val IoU: 0.8958 | Learning Rate: 0.00025
Epoch 99 | Train Loss: 0.0417 | Val Loss: 0.0325 | Val Dice: 0.9473 | Val IoU: 0.9005 | Learning Rate: 0.00025
Epoch 100 | Train Loss: 0.0424 | Val Loss: 0.0313 | Val Dice: 0.9453 | Val IoU: 0.8970 | Learning Rate: 0.00025
Epoch 101 | Train Loss: 0.0380 | Val Loss: 0.0305 | Val Dice: 0.9375 | Val IoU: 0.8831 | Learning Rate: 0.00025
Epoch 102 | Train Loss: 0.0405 | Val Loss: 0.0306 | Val Dice: 0.9412 | Val IoU: 0.8897 | Learning Rate: 0.00025
Epoch 103 | Train Loss: 0.0357 | Val Loss: 0.0297 | Val Dice: 0.9431 | Val IoU: 0.8928 | Learning Rate: 0.00025
Epoch 104 | Train Loss: 0.0361 | Val Loss: 0.0299 | Val Dice: 0.9336 | Val IoU: 0.8763 | Learning Rate: 0.00025
Epoch 105 | Train Loss: 0.0393 | Val Loss: 0.0305 | Val Dice: 0.9469 | Val IoU: 0.8998 | Learning Rate: 0.00025
Epoch 106 | Train Loss: 0.0368 | Val Loss: 0.0295 | Val Dice: 0.9441 | Val IoU: 0.8948 | Learning Rate: 0.00025
Epoch 107 | Train Loss: 0.0335 | Val Loss: 0.0299 | Val Dice: 0.9485 | Val IoU: 0.9025 | Learning Rate: 0.00025
Epoch 108 | Train Loss: 0.0339 | Val Loss: 0.0296 | Val Dice: 0.9439 | Val IoU: 0.8943 | Learning Rate: 0.00025
Epoch 109 | Train Loss: 0.0322 | Val Loss: 0.0316 | Val Dice: 0.9505 | Val IoU: 0.9062 | Learning Rate: 0.00025
Epoch 110 | Train Loss: 0.0396 | Val Loss: 0.0291 | Val Dice: 0.9438 | Val IoU: 0.8941 | Learning Rate: 0.00025
Epoch 111 | Train Loss: 0.0318 | Val Loss: 0.0291 | Val Dice: 0.9465 | Val IoU: 0.8990 | Learning Rate: 0.00025
Epoch 112 | Train Loss: 0.0334 | Val Loss: 0.0277 | Val Dice: 0.9486 | Val IoU: 0.9025 | Learning Rate: 0.00025
Epoch 113 | Train Loss: 0.0340 | Val Loss: 0.0301 | Val Dice: 0.9484 | Val IoU: 0.9025 | Learning Rate: 0.00025
Epoch 114 | Train Loss: 0.0343 | Val Loss: 0.0285 | Val Dice: 0.9371 | Val IoU: 0.8823 | Learning Rate: 0.00025
Epoch 115 | Train Loss: 0.0305 | Val Loss: 0.0291 | Val Dice: 0.9482 | Val IoU: 0.9022 | Learning Rate: 0.00025
Epoch 116 | Train Loss: 0.0312 | Val Loss: 0.0296 | Val Dice: 0.9358 | Val IoU: 0.8803 | Learning Rate: 0.00025
Epoch 117 | Train Loss: 0.0337 | Val Loss: 0.0291 | Val Dice: 0.9436 | Val IoU: 0.8937 | Learning Rate: 0.00025
Epoch 118 | Train Loss: 0.0326 | Val Loss: 0.0279 | Val Dice: 0.9435 | Val IoU: 0.8935 | Learning Rate: 0.00025
Epoch 119 | Train Loss: 0.0314 | Val Loss: 0.0301 | Val Dice: 0.9481 | Val IoU: 0.9018 | Learning Rate: 0.00025
Epoch 120 | Train Loss: 0.0322 | Val Loss: 0.0299 | Val Dice: 0.9514 | Val IoU: 0.9076 | Learning Rate: 0.00025
Epoch 121 | Train Loss: 0.0306 | Val Loss: 0.0270 | Val Dice: 0.9461 | Val IoU: 0.8982 | Learning Rate: 0.00025
Epoch 122 | Train Loss: 0.0353 | Val Loss: 0.0290 | Val Dice: 0.9417 | Val IoU: 0.8904 | Learning Rate: 0.00025
Epoch 123 | Train Loss: 0.0332 | Val Loss: 0.0284 | Val Dice: 0.9403 | Val IoU: 0.8878 | Learning Rate: 0.00025
Epoch 124 | Train Loss: 0.0332 | Val Loss: 0.0283 | Val Dice: 0.9377 | Val IoU: 0.8834 | Learning Rate: 0.00025
Epoch 125 | Train Loss: 0.0312 | Val Loss: 0.0287 | Val Dice: 0.9474 | Val IoU: 0.9006 | Learning Rate: 0.00025
Epoch 126 | Train Loss: 0.0314 | Val Loss: 0.0305 | Val Dice: 0.9454 | Val IoU: 0.8971 | Learning Rate: 0.00025
Epoch 127 | Train Loss: 0.0303 | Val Loss: 0.0286 | Val Dice: 0.9516 | Val IoU: 0.9083 | Learning Rate: 0.00025
Epoch 128 | Train Loss: 0.0335 | Val Loss: 0.0294 | Val Dice: 0.9501 | Val IoU: 0.9054 | Learning Rate: 0.00025
Epoch 129 | Train Loss: 0.0306 | Val Loss: 0.0273 | Val Dice: 0.9470 | Val IoU: 0.8996 | Learning Rate: 0.00025
Epoch 130 | Train Loss: 0.0307 | Val Loss: 0.0287 | Val Dice: 0.9518 | Val IoU: 0.9086 | Learning Rate: 0.00025
Epoch 131 | Train Loss: 0.0319 | Val Loss: 0.0277 | Val Dice: 0.9475 | Val IoU: 0.9008 | Learning Rate: 0.00025
Epoch 132 | Train Loss: 0.0313 | Val Loss: 0.0273 | Val Dice: 0.9471 | Val IoU: 0.9000 | Learning Rate: 0.00025
Epoch 133 | Train Loss: 0.0327 | Val Loss: 0.0282 | Val Dice: 0.9526 | Val IoU: 0.9100 | Learning Rate: 0.00025
Epoch 134 | Train Loss: 0.0320 | Val Loss: 0.0271 | Val Dice: 0.9495 | Val IoU: 0.9042 | Learning Rate: 0.00025
Epoch 135 | Train Loss: 0.0338 | Val Loss: 0.0309 | Val Dice: 0.9462 | Val IoU: 0.8986 | Learning Rate: 0.00025
Epoch 136 | Train Loss: 0.0293 | Val Loss: 0.0301 | Val Dice: 0.9508 | Val IoU: 0.9069 | Learning Rate: 0.00025
Epoch 137 | Train Loss: 0.0286 | Val Loss: 0.0290 | Val Dice: 0.9368 | Val IoU: 0.8818 | Learning Rate: 0.00025
Epoch 138 | Train Loss: 0.0318 | Val Loss: 0.0268 | Val Dice: 0.9437 | Val IoU: 0.8940 | Learning Rate: 0.00025
Epoch 139 | Train Loss: 0.0300 | Val Loss: 0.0261 | Val Dice: 0.9429 | Val IoU: 0.8925 | Learning Rate: 0.00025
Epoch 140 | Train Loss: 0.0340 | Val Loss: 0.0288 | Val Dice: 0.9382 | Val IoU: 0.8839 | Learning Rate: 0.00025
Epoch 141 | Train Loss: 0.0290 | Val Loss: 0.0297 | Val Dice: 0.9488 | Val IoU: 0.9029 | Learning Rate: 0.00025
Epoch 142 | Train Loss: 0.0313 | Val Loss: 0.0378 | Val Dice: 0.9465 | Val IoU: 0.8990 | Learning Rate: 0.00025
Epoch 143 | Train Loss: 0.0296 | Val Loss: 0.0270 | Val Dice: 0.9420 | Val IoU: 0.8909 | Learning Rate: 0.00025
Epoch 144 | Train Loss: 0.0288 | Val Loss: 0.0264 | Val Dice: 0.9456 | Val IoU: 0.8973 | Learning Rate: 0.000125
Epoch 145 | Train Loss: 0.0273 | Val Loss: 0.0265 | Val Dice: 0.9499 | Val IoU: 0.9052 | Learning Rate: 0.000125
Epoch 146 | Train Loss: 0.0271 | Val Loss: 0.0269 | Val Dice: 0.9530 | Val IoU: 0.9109 | Learning Rate: 0.000125
Epoch 147 | Train Loss: 0.0272 | Val Loss: 0.0265 | Val Dice: 0.9520 | Val IoU: 0.9089 | Learning Rate: 0.000125
